"","ResponseId","Open_1","Open_2","Open_3","Condition","p_ability","p_entity","p_pity","p_self_worth","p_grades","p_social","l_effort","l_strategy","l_help","l_mastery","l_interest","l_failure_good","o_ask_child","sum_performance","sum_learning"
"1",1,"I would ask my child what they thought about their score and then review the problems on the test with them to determine whether there was a gap in understanding or a gap in instruction. I would also ask to see their text book just to make sure that the assessment aligns with the text book. I am also an educator, so my children know that if they do their best, that's good enough for me...we learn from our mistakes, and that's part of the process that we are going through when we look at where the gaps are. ","I would think that there's either a point that my child didn't understand or there is a point that the teacher didn't cover as well. Being an educator, I would be curious as to what the scores were for the rest of the class and whether or not the same questions were missed by the majority of the class. Knowing that helps me to determine if it is my child that needs intervention or the teacher's strategies that need intervention. ","I would hurt for my child if they felt disappointed. But I would not feel disappointed-- my child did the best that they could and assessments help us to determine our level of understanding. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"Do you think that you studied enough and did the best that you could? What do you believe could have helped you do better on this test?

If they did as much as they could and just truly did not understand the material I would do everything I could to aid them in learning the material, whether that be helping them or asking a teacher for extra explanations, or even getting a tutor. 

If they did poorly due to their lack of care, we would have a serious talk about why they did not try their best. If the child did not try their best, it would come with some consequences though unsure of what those would be.

If they did their best and I attempted to aid them in learning the material, I would explain to them that I was still proud of them because they tried their hardest and sometimes it takes a little extra work to learn something and I know that they would get it eventually, sometimes you just have to fail to know how to succeed.","I would think that we had an issue either way. I would think that my child was either choosing to be lazy or that they were having trouble understanding the material. Either way, I would encourage them because I know that they could do better in the future.","I would feel disappointed in my parenting because I would feel as if I let them down. I would be concerned that they were either not being pushed hard enough to try or that I was not taking the time and attention they needed to help them succeed.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"I would tell them that it's ok and we will go over it together and see what went wrong.","I would think they don't understand the concept.","I would feel like they need some one on one learning.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"Sometimes it's bad to be too confident. I know you were confident you knew the material and I know you still studied, but going into it overly confident may of hurt you. Next time, try to study as if you really need it.","I would think maybe being overly confident, she didn't study as much as she needed.","I would be understanding. I wouldn't be happy  about the grade, but I would hope she learned from this.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,"Oh my. So you're going to be studying quite a bit more for the next test. There's no reason for an f. If you do the homework and understand it, why would you get an f on this test?","That the child didn't study or long enough.","I would be disappointed and try to get them to do better the next time ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"I would tell her that she worked hard but unfortunately something went amiss.  I would tell her to talk to the teacher and ask them to go over the test with her to see what she got wrong.  I would also suggest she ask for extra tutoring so she's better prepared for the next test.","I would think that either the teacher didn't prep the kids well or my daughter is having difficulty grasping that style of math and would get her extra tutoring help.","Proud that she studied as hard as she did.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"I'm sorry you didn't get the grade you were expecting. I'd be disappointed and kind of upset too, if that happened to me. The good thing is that now you know what you need help with. I can help you review and if you want, we can talk to your teacher about extra help.","I would be sympathetic towards them, because I've experienced the same situation and know how it feels. I would hope that this didn't make them give up or think they're stupid.","I would feel like it's my responsibility to help them review the material and gain an understanding. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"I would ask my child what they thought had happened. If they didn't study enough or comprehend the questions. I would also ask if they thought that next time I could help them study. I would also tell my child that it is okay, and i am confident they can do better next time with more preparation,","I would think that maybe I didn't help my child enough and that we should study more on the math questions.","I would feel like I let my child down. Like I didn't prepare them enough","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"I think I will be disappointed in her performance but I have to encourage her rather than scolding her since she could perform better if more efforts are channeled into learning. I will pay for extra classes for her so she could perform better next time.","why she failed the course, this will be a major concern for me.","I will feel disappointed","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"I will discuss with her that she can’t assume that she knows the information and that she needs to use this lesson as she goes forward in the class to put forth more effort and possibly meet with the teacher or find a study group to help her prepare better for the next test","I would think that she assumed that she knew the information and then found out that she did not, and that she needed to have studied much harder for the test","I would feel responsible and frustrated that I had not helped to repair her better for the test","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,"I would tell her that it’s ok. It’s just her first test and there’s a lot she can do to improve in the future. I would offer support and suggestions to her for how to move forward, like meeting with the teacher or asking to do test corrections.","That the material was a little hard for her but it’s early yet and it’s not the end of the world.","Concerned about how my child is processing this event and making sure she feels supported","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12,"What really went wrong before your performance isn't encouraging. Don't you like the teacher? Do you understand whenever he teaches you? Is it because you didn't learn as expected? Do you feel alone in the school?","I will think my child is probably not happy with the subject or the teacher ","I will feel bad ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,"I would assure her that it's ok that she failed a test, it's not the end of the world. Then I would suggest she see her teacher for extra help.","I wouldn't think it was a big deal","I would feel bad if my child was upset, but it wouldn't upset me. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,"I would tell them to not be discounted and that I know they tried.I would mention possibly getting a tutor to see if that helps.","I would think that it's possible my child is misunderstanding the tasks.","I would feel sorry for my child because I know they tried.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
