"","X","ResponseId","Parent","Subject_1","Subject_2","Subject_3","Subject_4","Initial.Survey_1","Initial.Survey_2","Initial.Survey_3","Initial.Survey_4","Enhancing_1","Enhancing_2","Enhancing_3","Enhancing_4","Enhancing_5","Debilitating_1","Debilitating_2","Debilitating_3","Debilitating_4","Debilitating_5","Closing_1","Closing_2","Closing_3","Closing_4","Closing_5","Closing_6","Age","Child.Age","Other.Child","Education","Race","Race_7_TEXT","Gender","Gender_6_TEXT","Q24","Q25","Condition"
"1",30,1,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","2","2","4","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","3","3","1 (strongly disagree)",46,10,"16, 17, 19, 21","Post Graduate degree","Prefer not to Answer","","Woman or Female",NA,"Yes","Yes","Enhancing"
"2",31,2,"Yes","1 (not good at all)","2","2","3","1 (strongly disagree)","2","5","4","","","","","","4","5","5","6 (strongly agree)","5","3","3","2","4","3","5",32,3,"","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"3",32,3,"Yes","5","5","5","5","1 (strongly disagree)","1 (strongly disagree)","5","5","","","","","","3","3","3","3","3","3","3","3","3","3","2",33,12,"9","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"4",33,4,"Yes","5","4","3","2","2","3","5","4","4","4","5","6 (strongly agree)","6 (strongly agree)","","","","","","4","5","5","4","2","2",32,11,"8, 6, 4","HS degree","White","","Woman or Female",NA,"No","No","Enhancing"
"5",34,5,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","4","3","4","4","","","","","","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","3","2","5","4","6 (strongly agree)",35,15,"12, 7","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"6",36,6,"Yes","4","4","5","5","4","4","4","4","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","6 (strongly agree)","6 (strongly agree)","3","2","2",54,16,"14, 14","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"7",38,7,"Yes","4","3","4","6 (very good)","2","2","5","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","5","6 (strongly agree)","3","3","2",28,8,"n/a","College degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"8",39,8,"Yes","3","6 (very good)","4","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","5","6 (strongly agree)","5","2","5","3","5","4","4",36,16,"19","No degree","White","","Woman or Female",NA,"Yes","Yes","Debilitating"
"9",40,9,"Yes","4","5","5","4","4","5","4","5","","","","","","5","4","5","6 (strongly agree)","4","5","4","5","5","6 (strongly agree)","5",30,7,"","Post Graduate degree","Black or African American","","Man or Male",NA,"Yes","Yes","Debilitating"
"10",41,10,"Yes","6 (very good)","6 (very good)","5","5","2","3","3","3","4","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","5","5","3","3","3",52,20,"23,25","College degree","White","","Woman or Female",NA,"Yes","No","Enhancing"
